dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDatabase2,119,left,True,True,True,False,True
CowDatabase2,119,right,True,True,True,False,True
CowDatabase2,119,top,True,True,True,False,True
CowDatabase2,12,left,True,True,True,False,True
CowDatabase2,12,right,True,True,True,False,True
CowDatabase2,12,top,True,True,True,False,True
CowDatabase2,120,left,True,True,True,False,True
CowDatabase2,120,right,True,True,True,False,True
CowDatabase2,120,top,True,True,True,False,True
CowDatabase2,121,left,True,True,True,False,True
CowDatabase2,121,right,True,True,True,False,True
CowDatabase2,121,top,True,True,True,False,True
CowDatabase2,13,left,True,True,True,False,True
CowDatabase2,13,right,True,True,True,False,True
CowDatabase2,13,top,True,True,True,False,True
CowDatabase2,14,left,True,True,True,False,True
CowDatabase2,14,right,True,True,True,False,True
CowDatabase2,14,top,True,True,True,False,True
CowDatabase2,15,left,True,True,True,False,True
CowDatabase2,15,right,True,True,True,False,True
CowDatabase2,15,top,True,True,True,False,True
CowDatabase2,16,left,True,True,True,False,True
CowDatabase2,16,right,True,True,True,False,True
CowDatabase2,16,top,True,True,True,False,True
CowDatabase2,17,left,True,True,True,False,True
CowDatabase2,17,right,True,True,True,False,True
CowDatabase2,17,top,True,True,True,False,True
CowDatabase2,18,left,True,True,True,False,True
CowDatabase2,18,right,True,True,True,False,True
CowDatabase2,18,top,True,True,True,False,True
CowDatabase2,19,left,True,True,True,False,True
CowDatabase2,19,right,True,True,True,False,True
CowDatabase2,19,top,True,True,True,False,True
CowDatabase2,2,left,True,True,True,False,True
CowDatabase2,2,right,True,True,True,False,True
CowDatabase2,2,top,True,True,True,False,True
CowDatabase2,20,left,True,True,True,False,True
CowDatabase2,20,right,True,True,True,False,True
CowDatabase2,20,top,True,True,True,False,True
CowDatabase2,21,left,True,True,True,False,True
CowDatabase2,21,right,True,True,True,False,True
CowDatabase2,21,top,True,True,True,False,True
CowDatabase2,22,left,True,True,True,False,True
CowDatabase2,22,right,True,True,True,False,True
CowDatabase2,22,top,True,True,True,False,True
CowDatabase2,23,left,True,True,True,False,True
CowDatabase2,23,right,True,True,True,False,True
CowDatabase2,23,top,True,True,True,False,True
CowDatabase2,24,left,True,True,True,False,True
CowDatabase2,24,right,True,True,True,False,True
CowDatabase2,24,top,True,True,True,False,True
CowDatabase2,25,left,True,True,True,False,True
CowDatabase2,25,right,True,True,True,False,True
CowDatabase2,25,top,True,True,True,False,True
CowDatabase2,26,left,True,True,True,False,True
CowDatabase2,26,right,True,True,True,False,True
CowDatabase2,26,top,True,True,True,False,True
CowDatabase2,27,left,True,True,True,False,True
CowDatabase2,27,right,True,True,True,False,True
CowDatabase2,27,top,True,True,True,False,True
CowDatabase2,28,left,True,True,True,False,True
CowDatabase2,28,right,True,True,True,False,True
CowDatabase2,28,top,True,True,True,False,True
